G295	Ἀμφίπολις	G297+G4172	G297+G4171+G4183	ἀμφότερος+πόλεμος+πολύς	|
G296	ἄμφοδον	G297+G3598	G297+G3598	ἀμφότερος+ὁδός	|
G297	ἀμφότερος		G297	ἀμφότερος	|
G298	ἀμώμητος	G1+G3469	G1+G3201	ἄν+μέμφομαι	|
G299	ἄμωμος	G1+G3470	G1+G3201	ἄν+μέμφομαι	|
G300	Ἀμών	H526	G300	Ἀμών	|
G301	Ἀμώς	H531	G301	Ἀμώς	|
G302	ἄν		G302	ἄν	|
G303	ἀνά		G303	ἀνά	|
G304	ἀναβαθμός	G305+G898	G303+G939+G939	ἀνά+βάσις+βάσις	|
G305	ἀναβαίνω	G303+G939	G303+G939	ἀνά+βάσις	|
G306	ἀναβάλλομαι	G303+G906	G303+G906	ἀνά+βάλλω	|
G307	ἀναβιβάζω	G303+G939	G303+G939	ἀνά+βάσις	|
G308	ἀναβλέπω	G303+G991	G303+G991	ἀνά+βλέπω	|
G309	ἀνάβλεψις	G308	G303+G991	ἀνά+βλέπω	|
G310	ἀναβοάω	G303+G994	G303+G994	ἀνά+βοάω	|
G311	ἀναβολή	G306	G303+G906	ἀνά+βάλλω	|
G312	ἀναγγέλλω	G303+G32	G303+G71	ἀνά+ἄγω	|
G313	ἀναγεννάω	G303+G1080	G303+G1096	ἀνά+γίνομαι	|
G314	ἀναγινώσκω	G303+G1097	G303+G1097	ἀνά+γινώσκω	|
G315	ἀναγκάζω	G318	G303+G43	ἀνά+ἀγκάλη	|
G316	ἀναγκαῖος	G318	G303+G43	ἀνά+ἀγκάλη	|
G317	ἀναγκαστῶς	G315	G303+G43	ἀνά+ἀγκάλη	|
G318	ἀνάγκη	G303+G43	G303+G43	ἀνά+ἀγκάλη	|
G319	ἀναγνωρίζομαι	G303+G1107	G303+G1097	ἀνά+γινώσκω	|
G320	ἀνάγνωσις	G314	G303+G1097	ἀνά+γινώσκω	|
G321	ἀνάγω	G303+G71	G303+G71	ἀνά+ἄγω	|
G322	ἀναδείκνυμι	G303+G1166	G303+G1166	ἀνά+δεικνύω	|
G323	ἀνάδειξις	G322	G303+G1166	ἀνά+δεικνύω	|
G324	ἀναδέχομαι	G303+G1209	G303+G1209	ἀνά+δέχομαι	|
G325	ἀναδίδωμι	G303+G1325	G303+G1325	ἀνά+δίδωμι	|
G326	ἀναζάω	G303+G2198	G303+G2198	ἀνά+ζάω	|
G327	ἀναζητέω	G303+G2212	G303+G2212	ἀνά+ζητέω	|
G328	ἀναζώννυμι	G303+G2224	G303+G2218	ἀνά+ζυγός	|
G329	ἀναζωπυρέω	G303+G2226+G4442	G303+G2198+G4442	ἀνά+ζάω+πῦρ	|
G330	ἀναθάλλω	G303	G303	ἀνά	|
G331	ἀνάθεμα	G394	G303+G5087	ἀνά+τίθημι	|
G332	ἀναθεματίζω	G331	G303+G5087	ἀνά+τίθημι	|
G333	ἀναθεωρέω	G303+G2334	G303+G2300+G3708	ἀνά+θεάομαι+ὁράω	|
G334	ἀνάθημα	G394+G331	G303+G5087+G303+G5087	ἀνά+τίθημι+ἀνά+τίθημι	|
G335	ἀναίδεια	G1+G427+G127	G1+G427+G1+G1492	ἄν+ἄνευ+ἄν+εἴδω	|
G336	ἀναίρεσις	G337	G303+G142	ἀνά+αἴρω	|
G337	ἀναιρέω	G303+G138	G303+G142	ἀνά+αἴρω	|
G338	ἀναίτιος	G1+G159+G156	G1+G154+G154	ἄν+αἰτέω+αἰτέω	|
G339	ἀνακαθίζω	G303+G2523	G303+G2596+G1476	ἀνά+κατά+ἑδραῖος	|
G340	ἀνακαινίζω	G303+G2537	G303+G2537	ἀνά+καινός	|
G341	ἀνακαινόω	G303+G2537	G303+G2537	ἀνά+καινός	|
G342	ἀνακαίνωσις	G341	G303+G2537	ἀνά+καινός	|
G343	ἀνακαλύπτω	G303+G2572	G303+G2813+G2928	ἀνά+κλέπτω+κρύπτω	|
G344	ἀνακάμπτω	G303+G2578	G303+G2578	ἀνά+κάμπτω	|
G345	ἀνακεῖμαι	G303+G2749	G303+G2749	ἀνά+κεῖμαι	|
G346	ἀνακεφαλαίομαι	G303+G2775	G303+G2776	ἀνά+κεφαλή	|
G347	ἀνακλίνω	G303+G2827	G303+G2827	ἀνά+κλίνω	|
G348	ἀνακόπτω	G303+G2875	G303+G2875	ἀνά+κόπτω	|
G349	ἀνακράζω	G303+G2896	G303+G2896	ἀνά+κράζω	|
G350	ἀνακρίνω	G303+G2919	G303+G2919	ἀνά+κρίνω	|
G351	ἀνάκρισις	G350	G303+G2919	ἀνά+κρίνω	|
G352	ἀνακύπτω	G303+G2955	G303+G2949	ἀνά+κῦμα	|
G353	ἀναλαμβάνω	G303+G2983	G303+G1209	ἀνά+δέχομαι	|
G354	ἀνάληψις	G353	G303+G1209	ἀνά+δέχομαι	|
G355	ἀναλίσκω	G303+G138	G303+G142	ἀνά+αἴρω	|
G356	ἀναλογία	G303+G3056	G303+G3004	ἀνά+λέγω	|
G357	ἀναλογίζομαι	G356	G303+G3004	ἀνά+λέγω	|
G358	ἄναλος	G1+G251	G1+G251	ἄν+ἅλς	|
G359	ἀνάλυσις	G360	G303+G3089	ἀνά+λύω	|
G360	ἀναλύω	G303+G3089	G303+G3089	ἀνά+λύω	|
G361	ἀναμάρτητος	G1+G264	G1+G1+G3313	ἄν+ἄν+μέρος	|
G362	ἀναμένω	G303+G3306	G303+G3306	ἀνά+μένω	|
G363	ἀναμιμνήσκω	G303+G3403	G303+G3306+G3145	ἀνά+μένω+μασσάομαι	|
G364	ἀνάμνησις	G363	G303+G3306+G3145	ἀνά+μένω+μασσάομαι	|
G365	ἀνανεόω	G303+G3501	G303+G3501	ἀνά+νέος	|
G366	ἀνανήφω	G303+G3525	G303+G3525	ἀνά+νήφω	|
G367	Ἀνανίας	H2608	G367	Ἀνανίας	|
G368	ἀναντίῤῥητος	G1+G473+G4483	G1+G473+G4482	ἄν+ἀντί+ῥέω	|
G369	ἀναντιῤῥήτως	G368	G1+G473+G4482	ἄν+ἀντί+ῥέω	|
G370	ἀνάξιος	G1+G514	G1+G71	ἄν+ἄγω	|
G371	ἀναξίως	G370	G1+G71	ἄν+ἄγω	|
G372	ἀνάπαυσις	G373	G303+G3973	ἀνά+παύω	|
G373	ἀναπαύω	G303+G3973	G303+G3973	ἀνά+παύω	|
G374	ἀναπείθω	G303+G3982	G303+G3982	ἀνά+πείθω	|
G375	ἀναπέμπω	G303+G3992	G303+G3992	ἀνά+πέμπω	|
G376	ἀνάπηρος	G303	G303	ἀνά	|
G377	ἀναπίπτω	G303+G4098	G303+G4072	ἀνά+πτάομαι	|
G378	ἀναπληρόω	G303+G4137	G303+G4130	ἀνά+πλήθω	|
G379	ἀναπολόγητος	G1+G626	G1+G575+G3004	ἄν+ἀπό+λέγω	|
G380	ἀναπτύσσω	G303+G4428	G303+G4428	ἀνά+πτύσσω	|
G381	ἀνάπτω	G303+G681	G303+G681	ἀνά+ἅπτω	|
G382	ἀναρίθμητος	G1+G705	G1+G142	ἄν+αἴρω	|
G383	ἀνασείω	G303+G4579	G303+G4579	ἀνά+σείω	|
G384	ἀνασκευάζω	G303+G4632	G303+G4632	ἀνά+σκεῦος	|
G385	ἀνασπάω	G303+G4685	G303+G4685	ἀνά+σπάω	|
G386	ἀνάστασις	G450	G303+G2476	ἀνά+ἵστημι	|
G387	ἀναστατόω	G450	G303+G2476	ἀνά+ἵστημι	|
G388	ἀνασταυρόω	G303+G4717	G303+G2476	ἀνά+ἵστημι	|
G389	ἀναστενάζω	G303+G4727	G303+G2476	ἀνά+ἵστημι	|
G390	ἀναστρέφω	G303+G4762	G303+G5157	ἀνά+τροπή	|
G391	ἀναστροφή	G390	G303+G5157	ἀνά+τροπή	|
G392	ἀνατάσσομαι	G303+G5021	G303+G5021	ἀνά+τάσσω	|
G393	ἀνατέλλω	G303+G5056	G303+G5056	ἀνά+τέλος	|
G394	ἀνατίθεμαι	G303+G5087	G303+G5087	ἀνά+τίθημι	|
G395	ἀνατολή	G393	G303+G5056	ἀνά+τέλος	|
G396	ἀνατρέπω	G303+G5157	G303+G5157	ἀνά+τροπή	|
G397	ἀνατρέφω	G303+G5142	G303+G5142	ἀνά+τρέφω	|
G398	ἀναφαίνω	G303+G5316	G303+G5346	ἀνά+φημί	|
